"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 18:46:46 GMT 2023","Tue Mar 28 18:47:00 GMT 2023","14065","","employeeList:","","employeeList:","Поиск работника по имени из списка","Поиск работника по имени из списка",""
"passed","Tue Mar 28 18:45:26 GMT 2023","Tue Mar 28 18:45:30 GMT 2023","4350","","auth:","","auth:","Успешная авторизация","Успешная авторизация",""
"passed","Tue Mar 28 18:46:12 GMT 2023","Tue Mar 28 18:46:24 GMT 2023","12311","","employeeAdding:","","employeeAdding:","Добавление нового работника с данными логина","Добавление нового работника с данными логина",""
"passed","Tue Mar 28 18:45:30 GMT 2023","Tue Mar 28 18:45:33 GMT 2023","2853","","auth:","","auth:","Отображение ошибки при авторизации с пустыми реквизитами","Отображение ошибки при авторизации с пустыми реквизитами",""
"failed","Tue Mar 28 18:45:56 GMT 2023","Tue Mar 28 18:46:08 GMT 2023","11811","","employeeAdding:","","employeeAdding:","Добавление нового работника с полным именем","Добавление нового работника с полным именем",""
"passed","Tue Mar 28 18:46:27 GMT 2023","Tue Mar 28 18:46:43 GMT 2023","15882","","employeeDetail:","","employeeDetail:","Редактирование имени и фамилии работника","Редактирование имени и фамилии работника",""
"passed","Tue Mar 28 18:45:42 GMT 2023","Tue Mar 28 18:45:53 GMT 2023","11675","","employeeAdding:","","employeeAdding:","Добавление нового работника с неполным именем","Добавление нового работника с неполным именем",""
"passed","Tue Mar 28 18:45:37 GMT 2023","Tue Mar 28 18:45:41 GMT 2023","4466","","auth:","","auth:","Отображение ошибки при авторизации с неправильным паролем","Отображение ошибки при авторизации с неправильным паролем",""
"passed","Tue Mar 28 18:47:03 GMT 2023","Tue Mar 28 18:47:20 GMT 2023","16476","","employeeList:","","employeeList:","Переход в детальную информацию по одному работнику из списка","Переход в детальную информацию по одному работнику из списка",""
"passed","Tue Mar 28 18:45:33 GMT 2023","Tue Mar 28 18:45:37 GMT 2023","4112","","auth:","","auth:","Отображение ошибки при авторизации с неправильным логином","Отображение ошибки при авторизации с неправильным логином",""
