"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 05:37:47 GMT 2023","Fri Mar 31 05:37:53 GMT 2023","5645","","auth:","","auth:","Отображение ошибки при авторизации с неправильным логином","Отображение ошибки при авторизации с неправильным логином",""
"failed","Fri Mar 31 05:39:12 GMT 2023","Fri Mar 31 05:41:07 GMT 2023","114858","","employeeList:","","employeeList:","Поиск работника по имени из списка","Поиск работника по имени из списка",""
"passed","Fri Mar 31 05:37:59 GMT 2023","Fri Mar 31 05:38:12 GMT 2023","13264","","employeeAdding:","","employeeAdding:","Добавление нового работника с неполным именем","Добавление нового работника с неполным именем",""
"skipped","Fri Mar 31 05:41:07 GMT 2023","Fri Mar 31 05:41:07 GMT 2023","0","","employeeList:","","employeeList:","Переход в детальную информацию по одному работнику из списка","Переход в детальную информацию по одному работнику из списка",""
"passed","Fri Mar 31 05:38:32 GMT 2023","Fri Mar 31 05:38:47 GMT 2023","15054","","employeeAdding:","","employeeAdding:","Добавление нового работника с данными логина","Добавление нового работника с данными логина",""
"passed","Fri Mar 31 05:38:15 GMT 2023","Fri Mar 31 05:38:29 GMT 2023","13138","","employeeAdding:","","employeeAdding:","Добавление нового работника с полным именем","Добавление нового работника с полным именем",""
"passed","Fri Mar 31 05:37:36 GMT 2023","Fri Mar 31 05:37:43 GMT 2023","7095","","auth:","","auth:","Успешная авторизация","Успешная авторизация",""
"passed","Fri Mar 31 05:37:53 GMT 2023","Fri Mar 31 05:37:59 GMT 2023","6007","","auth:","","auth:","Отображение ошибки при авторизации с неправильным паролем","Отображение ошибки при авторизации с неправильным паролем",""
"passed","Fri Mar 31 05:37:43 GMT 2023","Fri Mar 31 05:37:47 GMT 2023","3953","","auth:","","auth:","Отображение ошибки при авторизации с пустыми реквизитами","Отображение ошибки при авторизации с пустыми реквизитами",""
"passed","Fri Mar 31 05:38:50 GMT 2023","Fri Mar 31 05:39:08 GMT 2023","18148","","employeeDetail:","","employeeDetail:","Редактирование имени и фамилии работника","Редактирование имени и фамилии работника",""
