"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 18:41:21 GMT 2023","Tue Mar 28 18:41:35 GMT 2023","13283","","employeeAdding:","","employeeAdding:","Добавление нового работника с данными логина","Добавление нового работника с данными логина",""
"passed","Tue Mar 28 18:40:46 GMT 2023","Tue Mar 28 18:40:51 GMT 2023","4845","","auth:","","auth:","Отображение ошибки при авторизации с неправильным паролем","Отображение ошибки при авторизации с неправильным паролем",""
"passed","Tue Mar 28 18:40:38 GMT 2023","Tue Mar 28 18:40:42 GMT 2023","3174","","auth:","","auth:","Отображение ошибки при авторизации с пустыми реквизитами","Отображение ошибки при авторизации с пустыми реквизитами",""
"passed","Tue Mar 28 18:41:38 GMT 2023","Tue Mar 28 18:41:54 GMT 2023","16155","","employeeDetail:","","employeeDetail:","Редактирование имени и фамилии работника","Редактирование имени и фамилии работника",""
"passed","Tue Mar 28 18:40:51 GMT 2023","Tue Mar 28 18:41:03 GMT 2023","11669","","employeeAdding:","","employeeAdding:","Добавление нового работника с неполным именем","Добавление нового работника с неполным именем",""
"passed","Tue Mar 28 18:42:15 GMT 2023","Tue Mar 28 18:42:31 GMT 2023","15566","","employeeList:","","employeeList:","Переход в детальную информацию по одному работнику из списка","Переход в детальную информацию по одному работнику из списка",""
"passed","Tue Mar 28 18:40:42 GMT 2023","Tue Mar 28 18:40:46 GMT 2023","4532","","auth:","","auth:","Отображение ошибки при авторизации с неправильным логином","Отображение ошибки при авторизации с неправильным логином",""
"passed","Tue Mar 28 18:40:34 GMT 2023","Tue Mar 28 18:40:38 GMT 2023","4696","","auth:","","auth:","Успешная авторизация","Успешная авторизация",""
"passed","Tue Mar 28 18:41:57 GMT 2023","Tue Mar 28 18:42:12 GMT 2023","14847","","employeeList:","","employeeList:","Поиск работника по имени из списка","Поиск работника по имени из списка",""
"passed","Tue Mar 28 18:41:06 GMT 2023","Tue Mar 28 18:41:18 GMT 2023","12217","","employeeAdding:","","employeeAdding:","Добавление нового работника с полным именем","Добавление нового работника с полным именем",""
