"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 19:14:44 GMT 2023","Tue Mar 28 19:14:56 GMT 2023","11151","","employeeAdding:","","employeeAdding:","Добавление нового работника с полным именем","Добавление нового работника с полным именем",""
"passed","Tue Mar 28 19:14:26 GMT 2023","Tue Mar 28 19:14:31 GMT 2023","4225","","auth:","","auth:","Отображение ошибки при авторизации с неправильным паролем","Отображение ошибки при авторизации с неправильным паролем",""
"passed","Tue Mar 28 19:14:59 GMT 2023","Tue Mar 28 19:15:11 GMT 2023","12597","","employeeAdding:","","employeeAdding:","Добавление нового работника с данными логина","Добавление нового работника с данными логина",""
"passed","Tue Mar 28 19:14:31 GMT 2023","Tue Mar 28 19:14:41 GMT 2023","10703","","employeeAdding:","","employeeAdding:","Добавление нового работника с неполным именем","Добавление нового работника с неполным именем",""
"passed","Tue Mar 28 19:14:23 GMT 2023","Tue Mar 28 19:14:26 GMT 2023","3952","","auth:","","auth:","Отображение ошибки при авторизации с неправильным логином","Отображение ошибки при авторизации с неправильным логином",""
"passed","Tue Mar 28 19:15:15 GMT 2023","Tue Mar 28 19:15:30 GMT 2023","15426","","employeeDetail:","","employeeDetail:","Редактирование имени и фамилии работника","Редактирование имени и фамилии работника",""
"passed","Tue Mar 28 19:14:20 GMT 2023","Tue Mar 28 19:14:23 GMT 2023","2755","","auth:","","auth:","Отображение ошибки при авторизации с пустыми реквизитами","Отображение ошибки при авторизации с пустыми реквизитами",""
"passed","Tue Mar 28 19:15:33 GMT 2023","Tue Mar 28 19:15:46 GMT 2023","13119","","employeeList:","","employeeList:","Поиск работника по имени из списка","Поиск работника по имени из списка",""
"passed","Tue Mar 28 19:15:49 GMT 2023","Tue Mar 28 19:16:04 GMT 2023","14546","","employeeList:","","employeeList:","Переход в детальную информацию по одному работнику из списка","Переход в детальную информацию по одному работнику из списка",""
"passed","Tue Mar 28 19:14:16 GMT 2023","Tue Mar 28 19:14:20 GMT 2023","4089","","auth:","","auth:","Успешная авторизация","Успешная авторизация",""
