"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 18:55:10 GMT 2023","Tue Mar 28 18:55:21 GMT 2023","11065","","employeeAdding:","","employeeAdding:","Добавление нового работника с неполным именем","Добавление нового работника с неполным именем",""
"passed","Tue Mar 28 18:56:29 GMT 2023","Tue Mar 28 18:56:44 GMT 2023","14680","","employeeList:","","employeeList:","Переход в детальную информацию по одному работнику из списка","Переход в детальную информацию по одному работнику из списка",""
"passed","Tue Mar 28 18:55:05 GMT 2023","Tue Mar 28 18:55:10 GMT 2023","4648","","auth:","","auth:","Отображение ошибки при авторизации с неправильным паролем","Отображение ошибки при авторизации с неправильным паролем",""
"passed","Tue Mar 28 18:55:54 GMT 2023","Tue Mar 28 18:56:09 GMT 2023","15842","","employeeDetail:","","employeeDetail:","Редактирование имени и фамилии работника","Редактирование имени и фамилии работника",""
"passed","Tue Mar 28 18:55:38 GMT 2023","Tue Mar 28 18:55:51 GMT 2023","12303","","employeeAdding:","","employeeAdding:","Добавление нового работника с данными логина","Добавление нового работника с данными логина",""
"passed","Tue Mar 28 18:54:54 GMT 2023","Tue Mar 28 18:54:58 GMT 2023","4158","","auth:","","auth:","Успешная авторизация","Успешная авторизация",""
"passed","Tue Mar 28 18:54:58 GMT 2023","Tue Mar 28 18:55:01 GMT 2023","2850","","auth:","","auth:","Отображение ошибки при авторизации с пустыми реквизитами","Отображение ошибки при авторизации с пустыми реквизитами",""
"passed","Tue Mar 28 18:55:24 GMT 2023","Tue Mar 28 18:55:35 GMT 2023","11158","","employeeAdding:","","employeeAdding:","Добавление нового работника с полным именем","Добавление нового работника с полным именем",""
"passed","Tue Mar 28 18:55:01 GMT 2023","Tue Mar 28 18:55:05 GMT 2023","4068","","auth:","","auth:","Отображение ошибки при авторизации с неправильным логином","Отображение ошибки при авторизации с неправильным логином",""
"passed","Tue Mar 28 18:56:12 GMT 2023","Tue Mar 28 18:56:26 GMT 2023","13791","","employeeList:","","employeeList:","Поиск работника по имени из списка","Поиск работника по имени из списка",""
