"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 28 19:02:34 GMT 2023","Tue Mar 28 19:02:49 GMT 2023","15796","","employeeList:","","employeeList:","Переход в детальную информацию по одному работнику из списка","Переход в детальную информацию по одному работнику из списка",""
"skipped","Tue Mar 28 19:01:56 GMT 2023","Tue Mar 28 19:01:56 GMT 2023","0","","employeeAdding:","","employeeAdding:","Добавление нового работника с данными логина","Добавление нового работника с данными логина",""
"passed","Tue Mar 28 18:59:49 GMT 2023","Tue Mar 28 18:59:53 GMT 2023","4624","","auth:","","auth:","Успешная авторизация","Успешная авторизация",""
"passed","Tue Mar 28 18:59:53 GMT 2023","Tue Mar 28 18:59:57 GMT 2023","3272","","auth:","","auth:","Отображение ошибки при авторизации с пустыми реквизитами","Отображение ошибки при авторизации с пустыми реквизитами",""
"skipped","Tue Mar 28 19:01:56 GMT 2023","Tue Mar 28 19:01:56 GMT 2023","0","","employeeAdding:","","employeeAdding:","Добавление нового работника с полным именем","Добавление нового работника с полным именем",""
"passed","Tue Mar 28 18:59:57 GMT 2023","Tue Mar 28 19:00:01 GMT 2023","4569","","auth:","","auth:","Отображение ошибки при авторизации с неправильным логином","Отображение ошибки при авторизации с неправильным логином",""
"failed","Tue Mar 28 19:00:06 GMT 2023","Tue Mar 28 19:01:56 GMT 2023","109937","","employeeAdding:","","employeeAdding:","Добавление нового работника с неполным именем","Добавление нового работника с неполным именем",""
"passed","Tue Mar 28 19:02:16 GMT 2023","Tue Mar 28 19:02:30 GMT 2023","14405","","employeeList:","","employeeList:","Поиск работника по имени из списка","Поиск работника по имени из списка",""
"passed","Tue Mar 28 19:00:01 GMT 2023","Tue Mar 28 19:00:06 GMT 2023","4812","","auth:","","auth:","Отображение ошибки при авторизации с неправильным паролем","Отображение ошибки при авторизации с неправильным паролем",""
"passed","Tue Mar 28 19:01:56 GMT 2023","Tue Mar 28 19:02:13 GMT 2023","16817","","employeeDetail:","","employeeDetail:","Редактирование имени и фамилии работника","Редактирование имени и фамилии работника",""
